Brand,TAC,SPECS
REDMI,86547708,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86559008,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86627708,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86650908,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86693908,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86775408,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86834508,"REDMI 15C 4G, Xiaomi 25078RA3EA2025"
REDMI,86846108,"REDMI 15C 4G, Xiaomi 25078RA3EA2025"
REDMI,86908008,"REDMI 15C 4G, Xiaomi 25078RA3EA2025"
REDMI,86958008,"REDMI 15C 4G, Xiaomi 25078RA3EL2025"
REDMI,86119708,"REDMI 15C, Xiaomi 25078RA3EE2025"
REDMI,86329808,"REDMI 15C, Xiaomi 25078RA3EE2025"
REDMI,86707308,"REDMI 15C, Xiaomi 25078RA3EE2025"
REDMI,86855108,"REDMI 15C, Xiaomi 25078RA3EE2025"
REDMI,86919508,"REDMI 15C, Xiaomi 25078RA3EE2025"
REDMI,86149808,"REDMI 15 5G, Xiaomi 25057RN09I, India Model, 2025"
REDMI,86253908,"REDMI 15 5G, Xiaomi 25057RN09I, India Model, 2025"
REDMI,86289608,"REDMI 15 5G, N/A2025"
REDMI,86430008,"REDMI 15 5G, Xiaomi 25057RN09G, Global Model, 2025"
REDMI,86464508,"REDMI 15 5G, Xiaomi 25057RN09G, Global Model, 2025"
REDMI,86499208,"REDMI 15 4G, Xiaomi 25062RN2DL2025"
REDMI,86502608,"REDMI 15 4G, Xiaomi 25062RN2DL2025"
REDMI,86504308,"REDMI 15 4G, Xiaomi 25062RN2DE2025"
REDMI,86632708,"REDMI 15 4G, Xiaomi 25062RN2DE2025"
REDMI,86010608,"REDMI 15, Xiaomi 25062RN2DA2025"
REDMI,86080608,"REDMI 15, Xiaomi 25062RN2DA2025"
REDMI,86380208,"REDMI 15, Xiaomi 25062RN2DY2025"
REDMI,86457508,"REDMI 15, Xiaomi 25062RN2DA2025"
REDMI,86601308,"REDMI 15, Xiaomi 25062RN2DA2025"
REDMI,86776408,"REDMI 15, Xiaomi 25062RN2DY2025"
REDMI,86795808,"REDMI 15, Xiaomi 25062RN2DY2025"
REDMI,86871308,"REDMI 15, N/A2025"
REDMI,86927408,"REDMI 15, N/A2025"
POCO,86472608,"POCO X7 PRO, Xiaomi 2412DPC0AG, Global Model, 2025"
POCO,86947108,"POCO X7 PRO, Xiaomi 2412DPC0AG, Global Model, 2025"
POCO,86831108,"POCO X7 PRO, Xiaomi 2412DPC0AG2025"
